	goAcc	Pathway	N	DE	P.DE	gotermType
1592	GO:0018451	epoxide dehydrogenase activity	8	6	0.014983223	molecular_function
1593	GO:0018452	5-exo-hydroxycamphor dehydrogenase activity	8	6	0.014983223	molecular_function
1594	GO:0018453	2-hydroxytetrahydrofuran dehydrogenase activity	8	6	0.014983223	molecular_function
1842	GO:0032442	phenylcoumaran benzylic ether reductase activity	8	6	0.014983223	molecular_function
1852	GO:0033764	"steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"	8	6	0.014983223	molecular_function
1853	GO:0033765	"steroid dehydrogenase activity, acting on the CH-CH group of donors"	8	6	0.014983223	molecular_function
1925	GO:0043713	(R)-2-hydroxyisocaproate dehydrogenase activity	8	6	0.014983223	molecular_function
2084	GO:0048258	3-ketoglucose-reductase activity	8	6	0.014983223	molecular_function
1193	GO:0008654	phospholipid biosynthetic process	15	9	0.021863047	biological_process
1527	GO:0016884	"carbon-nitrogen ligase activity, with glutamine as amido-N-donor"	13	8	0.025327491	molecular_function
205	GO:0003997	acyl-CoA oxidase activity	3	3	0.031724195	molecular_function
317	GO:0004177	aminopeptidase activity	3	3	0.031724195	molecular_function
379	GO:0004351	glutamate decarboxylase activity	3	3	0.031724195	molecular_function
794	GO:0005952	cAMP-dependent protein kinase complex	3	3	0.031724195	cellular_component
803	GO:0005978	glycogen biosynthetic process	3	3	0.031724195	biological_process
822	GO:0006094	gluconeogenesis	3	3	0.031724195	biological_process
831	GO:0006120	"mitochondrial electron transport, NADH to ubiquinone"	3	3	0.031724195	biological_process
933	GO:0006536	glutamate metabolic process	3	3	0.031724195	biological_process
938	GO:0006546	glycine catabolic process	3	3	0.031724195	biological_process
960	GO:0006635	fatty acid beta-oxidation	3	3	0.031724195	biological_process
1113	GO:0008318	protein prenyltransferase activity	3	3	0.031724195	molecular_function
1269	GO:0009098	leucine biosynthetic process	3	3	0.031724195	biological_process
1315	GO:0009712	catechol metabolic process	3	3	0.031724195	biological_process
1404	GO:0016307	phosphatidylinositol phosphate kinase activity	3	3	0.031724195	molecular_function
1448	GO:0016559	peroxisome fission	3	3	0.031724195	biological_process
1619	GO:0018576	"catechol 1,2-dioxygenase activity"	3	3	0.031724195	molecular_function
1792	GO:0030266	quinate 5-dehydrogenase activity	3	3	0.031724195	molecular_function
1812	GO:0030833	regulation of actin filament polymerization	3	3	0.031724195	biological_process
1912	GO:0043169	cation binding	3	3	0.031724195	molecular_function
1938	GO:0043738	F420H2 dehydrogenase activity	3	3	0.031724195	molecular_function
1971	GO:0043826	sulfur oxygenase reductase activity	3	3	0.031724195	molecular_function
1986	GO:0043883	malolactic enzyme activity	3	3	0.031724195	molecular_function
2064	GO:0047621	acylpyruvate hydrolase activity	3	3	0.031724195	molecular_function
2106	GO:0050356	tropine dehydrogenase activity	3	3	0.031724195	molecular_function
2138	GO:0051341	regulation of oxidoreductase activity	3	3	0.031724195	biological_process
2151	GO:0051731	polynucleotide kinase activity	3	3	0.031724195	molecular_function
2154	GO:0051734	ATP-dependent polynucleotide kinase activity	3	3	0.031724195	molecular_function
2155	GO:0051735	GTP-dependent polynucleotide kinase activity	3	3	0.031724195	molecular_function
1090	GO:0008236	serine-type peptidase activity	9	6	0.032961428	molecular_function
2162	GO:0051990	(R)-2-hydroxyglutarate dehydrogenase activity	9	6	0.032961428	molecular_function
1028	GO:0007165	signal transduction	73	31	0.033161715	biological_process
1366	GO:0016021	integral to membrane	221	83	0.034522551	cellular_component
1514	GO:0016831	carboxy-lyase activity	7	5	0.036294902	molecular_function
2079	GO:0048037	cofactor binding	7	5	0.036294902	molecular_function
184	GO:0003960	NADPH:quinone reductase activity	5	4	0.037487267	molecular_function
920	GO:0006506	GPI anchor biosynthetic process	5	4	0.037487267	biological_process
1047	GO:0008106	alcohol dehydrogenase (NADP+) activity	5	4	0.037487267	molecular_function
1086	GO:0008202	steroid metabolic process	5	4	0.037487267	biological_process
1667	GO:0018667	cyclohexanone monooxygenase activity	5	4	0.037487267	molecular_function
1988	GO:0043892	methylglyoxal reductase (NADPH-dependent) activity	5	4	0.037487267	molecular_function
