	goAcc	Pathway	N	DE	P.DE	gotermType
389	GO:0004365	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) activity	2	2	0.045436076	molecular_function
480	GO:0004535	poly(A)-specific ribonuclease activity	2	2	0.045436076	molecular_function
615	GO:0004739	pyruvate dehydrogenase (acetyl-transferring) activity	2	2	0.045436076	molecular_function
629	GO:0004758	serine C-palmitoyltransferase activity	2	2	0.045436076	molecular_function
664	GO:0004818	glutamate-tRNA ligase activity	2	2	0.045436076	molecular_function
668	GO:0004822	isoleucine-tRNA ligase activity	2	2	0.045436076	molecular_function
781	GO:0005835	fatty acid synthase complex	2	2	0.045436076	cellular_component
837	GO:0006177	GMP biosynthetic process	2	2	0.045436076	biological_process
850	GO:0006268	DNA unwinding during replication	2	2	0.045436076	biological_process
895	GO:0006428	isoleucyl-tRNA aminoacylation	2	2	0.045436076	biological_process
1166	GO:0008519	ammonium transmembrane transporter activity	2	2	0.045436076	molecular_function
1218	GO:0008812	choline dehydrogenase activity	2	2	0.045436076	molecular_function
1232	GO:0008892	guanine deaminase activity	2	2	0.045436076	molecular_function
1241	GO:0008943	glyceraldehyde-3-phosphate dehydrogenase activity	2	2	0.045436076	molecular_function
1273	GO:0009113	purine base biosynthetic process	2	2	0.045436076	biological_process
1295	GO:0009332	glutamate-tRNA ligase complex	2	2	0.045436076	cellular_component
1474	GO:0016706	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors"	2	2	0.045436076	molecular_function
1478	GO:0016743	carboxyl- or carbamoyltransferase activity	2	2	0.045436076	molecular_function
1525	GO:0016876	"ligase activity, forming aminoacyl-tRNA and related compounds"	2	2	0.045436076	molecular_function
1551	GO:0017059	serine C-palmitoyltransferase complex	2	2	0.045436076	cellular_component
1794	GO:0030286	dynein complex	2	2	0.045436076	cellular_component
1907	GO:0043039	tRNA aminoacylation	2	2	0.045436076	biological_process
2130	GO:0051118	"glucan endo-1,3-alpha-glucosidase activity"	2	2	0.045436076	molecular_function
