	goAcc	Pathway	N	DE	P.DE	gotermType
1938	GO:0043738	F420H2 dehydrogenase activity	3	3	0.016870537	molecular_function
1971	GO:0043826	sulfur oxygenase reductase activity	3	3	0.016870537	molecular_function
1986	GO:0043883	malolactic enzyme activity	3	3	0.016870537	molecular_function
2064	GO:0047621	acylpyruvate hydrolase activity	3	3	0.016870537	molecular_function
2106	GO:0050356	tropine dehydrogenase activity	3	3	0.016870537	molecular_function
2138	GO:0051341	regulation of oxidoreductase activity	3	3	0.016870537	biological_process
358	GO:0004316	3-oxoacyl-[acyl-carrier-protein] reductase activity	5	4	0.017187783	molecular_function
447	GO:0004467	long-chain-fatty-acid-CoA ligase activity	5	4	0.017187783	molecular_function
1245	GO:0008967	phosphoglycolate phosphatase activity	5	4	0.017187783	molecular_function
1379	GO:0016207	4-coumarate-CoA ligase activity	5	4	0.017187783	molecular_function
1829	GO:0031955	short-chain-fatty-acid-CoA ligase activity	5	4	0.017187783	molecular_function
1830	GO:0031956	medium-chain-fatty-acid-CoA ligase activity	5	4	0.017187783	molecular_function
1831	GO:0031957	very-long-chain-fatty-acid-CoA ligase activity	5	4	0.017187783	molecular_function
2054	GO:0047372	acylglycerol lipase activity	5	4	0.017187783	molecular_function
2076	GO:0047953	glycerol 2-dehydrogenase (NADP+) activity	5	4	0.017187783	molecular_function
1319	GO:0010181	FMN binding	23	11	0.017907686	molecular_function
234	GO:0004040	amidase activity	10	6	0.022338121	molecular_function
1756	GO:0019752	carboxylic acid metabolic process	10	6	0.022338121	biological_process
654	GO:0004806	triacylglycerol lipase activity	13	7	0.027796188	molecular_function
48	GO:0000253	3-keto sterol reductase activity	8	5	0.030380561	molecular_function
229	GO:0004033	aldo-keto reductase activity	8	5	0.030380561	molecular_function
464	GO:0004495	mevaldate reductase activity	8	5	0.030380561	molecular_function
1229	GO:0008875	gluconate dehydrogenase activity	8	5	0.030380561	molecular_function
1386	GO:0016229	steroid dehydrogenase activity	8	5	0.030380561	molecular_function
1592	GO:0018451	epoxide dehydrogenase activity	8	5	0.030380561	molecular_function
1593	GO:0018452	5-exo-hydroxycamphor dehydrogenase activity	8	5	0.030380561	molecular_function
1594	GO:0018453	2-hydroxytetrahydrofuran dehydrogenase activity	8	5	0.030380561	molecular_function
1842	GO:0032442	phenylcoumaran benzylic ether reductase activity	8	5	0.030380561	molecular_function
1852	GO:0033764	"steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"	8	5	0.030380561	molecular_function
1853	GO:0033765	"steroid dehydrogenase activity, acting on the CH-CH group of donors"	8	5	0.030380561	molecular_function
1925	GO:0043713	(R)-2-hydroxyisocaproate dehydrogenase activity	8	5	0.030380561	molecular_function
2084	GO:0048258	3-ketoglucose-reductase activity	8	5	0.030380561	molecular_function
1133	GO:0008415	acyltransferase activity	28	12	0.035323309	molecular_function
787	GO:0005856	cytoskeleton	6	4	0.041107534	cellular_component
825	GO:0006098	pentose-phosphate shunt	6	4	0.041107534	biological_process
999	GO:0006885	regulation of pH	6	4	0.041107534	biological_process
1335	GO:0015299	solute:hydrogen antiporter activity	6	4	0.041107534	molecular_function
1398	GO:0016289	CoA hydrolase activity	6	4	0.041107534	molecular_function
1399	GO:0016291	acyl-CoA thioesterase activity	6	4	0.041107534	molecular_function
