"Rhoto.Ac.1"	"Rhoto.Ac.2"	"Rhoto.Ac.3"	"Rhoto.Glc.1"	"Rhoto.Glc.2"	"Rhoto.Glc.3"	"Rhoto.So.1"	"Rhoto.So.2"	"Rhoto.So.3"	"Rhoto.Xyl.1"	"Rhoto.Xyl.2"	"Rhoto.Xyl.3"	"Rhoto.YP.1"	"Rhoto.YP.2"	"Rhoto.YP.3"
"mRNA_35"	5	4	9	22	16	16	8	17	18	12	16	5	18	12	9
"mRNA_36"	72	137	150	1019	837	878	154	147	330	789	811	1000	163	144	114
"mRNA_37"	390	341	513	700	822	727	701	623	936	761	768	766	979	824	892
"mRNA_38"	8	6	5	54	10	17	10	22	43	20	39	29	18	6	1
"mRNA_39"	9	20	12	244	122	115	31	60	77	116	140	95	24	24	19
"mRNA_40"	13	37	27	37	28	31	17	14	22	26	26	25	22	13	15
"mRNA_41"	3626	3597	4228	3111	2824	2376	2098	2032	3144	2381	2737	2927	2195	2293	1620
"mRNA_42"	1471	1892	1498	2843	3526	3164	1302	1805	2065	1364	1567	1408	2114	2139	1094
"mRNA_43"	419	428	451	893	756	716	559	638	796	494	482	493	455	530	441
"mRNA_44"	275	212	353	613	538	498	2101	1940	2066	349	375	455	1836	2233	1248
"mRNA_45"	440	330	466	201	272	175	425	506	718	443	454	465	446	463	484
"mRNA_46"	3080	4394	4565	571	631	397	3820	3769	5453	1097	1727	1554	2552	2443	3645
"mRNA_47"	1	4	2	10	22	5	3	3	15	26	30	29	78	61	338
"mRNA_48"	20	11	20	145	120	122	94	93	149	96	107	91	382	188	807
"mRNA_49"	888	648	796	819	949	659	827	925	972	651	722	536	4567	1943	10556
"mRNA_50"	203	243	214	292	473	321	470	549	706	284	314	206	8736	2901	25025
"mRNA_51"	331	668	730	1227	1436	1585	1588	1551	3752	639	742	965	1042	1568	994
"mRNA_52"	14	10	16	8	19	8	10	12	26	20	5	22	28	16	19
"mRNA_53"	596	544	556	486	542	432	629	788	703	505	552	437	1060	751	860
"mRNA_54"	89	91	135	292	373	219	240	232	342	292	383	345	407	386	223
"mRNA_55"	276	354	324	657	571	451	633	714	758	621	650	512	892	704	607
"mRNA_56"	1993	2159	1878	3858	4027	3338	1815	2331	2309	1815	2046	1884	2083	2148	1218
"mRNA_57"	2256	3540	2607	3533	3017	2857	2049	2401	3065	1436	1894	1897	2545	2144	1886
"mRNA_58"	2069	2070	2474	2087	2116	1269	4949	5100	5829	1199	1425	1439	9583	7752	12576
"mRNA_59"	4	8	1	18	11	8	11	23	11	9	3	2	27	20	37
"mRNA_60"	4	13	18	10	4	7	5	5	23	21	13	20	30	20	6
"mRNA_61"	261	284	352	183	150	126	390	365	479	209	257	246	464	413	463
"mRNA_62"	34	28	45	54	59	38	54	65	128	70	51	53	64	72	97
"mRNA_63"	528	500	501	187	234	128	447	467	685	781	775	622	311	332	161
"mRNA_64"	993	1060	1213	1504	1358	1124	1108	1170	1442	1113	1309	1143	1296	1278	945
"mRNA_65"	935	1107	1190	1874	1687	1580	1315	1285	1786	887	1142	1209	1491	1448	1125
"mRNA_66"	1359	1062	1304	795	819	659	581	442	612	1183	1087	1072	408	463	347
"mRNA_67"	1621	1590	1819	4030	2990	2214	2064	2122	2369	3834	4205	3565	2816	2721	924
"mRNA_68"	1023	1414	1406	1360	1199	1256	1204	1213	2117	847	1028	1178	1093	1296	1210
"mRNA_69"	1209	1099	1125	1198	1036	788	1164	1392	1410	1049	1131	972	1660	1376	1345
"mRNA_70"	2821	2724	3502	3527	3260	2630	4206	4046	6206	5032	4873	4890	2765	2720	2701
"mRNA_71"	155	112	184	409	382	267	71	131	175	167	201	169	125	125	112
"mRNA_72"	1110	1372	1016	1168	1165	982	815	1000	1082	835	921	758	1226	858	813
"mRNA_73"	401	251	391	889	1328	1548	167	332	758	289	454	439	719	961	138
"mRNA_74"	403	540	811	1063	969	821	1119	1022	2234	478	641	837	838	1108	982
"mRNA_75"	290	205	236	178	257	178	211	257	269	294	316	271	231	226	131
"mRNA_76"	480	400	534	944	886	687	464	485	672	563	648	736	354	396	247
"mRNA_77"	186	238	181	226	243	193	220	325	346	268	271	187	296	296	206
"mRNA_78"	1528	2707	1363	2545	1777	1496	1358	1619	1818	2089	1933	1421	1986	1321	1410
"mRNA_79"	224	299	326	515	385	441	600	802	1483	229	296	330	329	387	186
"mRNA_80"	3	7	14	43	23	28	33	35	60	10	12	10	19	17	29
"mRNA_81"	1258	1846	1506	1744	1815	1365	2088	2769	2725	1178	1475	1330	2507	2343	1710
"mRNA_82"	1432	1414	1480	1591	1228	1210	641	908	1275	766	947	759	1915	1446	2653
"mRNA_83"	81	95	153	672	453	413	240	224	349	139	229	246	342	310	301
"mRNA_84"	403	339	330	223	253	206	276	326	347	259	309	239	342	274	208
"mRNA_85"	210	226	218	208	246	176	289	288	428	408	383	333	452	323	481
"mRNA_86"	9	7	11	14	7	12	1	8	13	8	27	26	8	8	14
"mRNA_87"	523	622	762	278	561	448	243	374	554	372	497	606	755	859	459
"mRNA_88"	314	341	323	782	855	887	224	250	489	771	596	596	285	250	207
"mRNA_89"	95	157	186	768	2128	1705	49	52	133	1099	1040	1357	452	633	127
"mRNA_90"	516	358	504	456	360	295	637	671	757	466	448	368	833	662	900
"mRNA_91"	977	665	744	393	493	352	636	744	695	543	516	480	796	524	685
"mRNA_92"	2291	3187	3360	2700	2406	1452	6479	7258	8267	3741	4658	4993	3846	4447	2343
"mRNA_93"	127	101	140	510	685	390	754	842	969	850	929	753	477	552	311
"mRNA_94"	426	588	829	29	17	22	8396	6150	12888	1240	945	1295	3496	5148	4945
"mRNA_95"	1220	1467	1570	3614	2347	2292	2504	2602	3116	1245	1529	1585	2553	2260	2511
"mRNA_96"	2266	2536	2227	2605	2259	1687	2113	2871	2717	2246	2296	1846	3851	3039	2232
"mRNA_97"	31	46	69	382	337	378	49	60	159	421	367	407	58	51	50
"mRNA_98"	16	17	20	378	338	299	42	41	94	392	423	347	90	63	85
"mRNA_99"	35	55	94	798	708	840	156	115	259	481	519	648	113	139	126
"mRNA_100"	1719	1442	1868	2921	2271	1936	1238	1307	1586	2907	3008	2752	1245	1246	825
"mRNA_101"	973	877	1183	2290	1563	1282	1251	1239	1795	1418	1702	1557	1422	1312	1220
"mRNA_102"	346	356	341	482	546	572	457	437	582	215	235	215	875	683	1012
"mRNA_103"	167	190	136	186	195	140	129	124	199	281	337	256	220	196	87
"mRNA_104"	13	23	20	58	24	27	65	59	63	18	21	15	89	51	92
"mRNA_105"	336	238	429	554	559	438	424	399	516	394	427	432	694	587	542
"mRNA_106"	406	642	579	1157	879	1009	532	569	1232	453	492	521	741	682	622
"mRNA_107"	114	124	96	181	268	224	116	150	174	196	166	154	228	201	149
"mRNA_108"	2	5	3	1	6	6	0	0	1	3	1	1	3	3	2
"mRNA_109"	107	103	123	158	196	225	117	113	217	133	157	131	157	166	102
"mRNA_110"	771	616	863	620	676	429	526	400	510	1312	1462	1525	703	657	544
"mRNA_111"	130	209	229	346	495	590	760	531	955	635	617	773	790	886	842
"mRNA_112"	1291	1814	1438	387	751	645	2365	2862	2806	691	1044	845	4689	4096	5103
"mRNA_113"	0	1	0	1	0	0	0	2	3	2	0	1	1	1	4
"mRNA_114"	200	223	282	521	598	585	370	461	631	362	452	431	353	488	236
"mRNA_115"	1535	2192	2489	4590	3795	4117	2715	2486	3739	1703	2093	2669	2295	3110	1432
"mRNA_116"	567	445	523	1381	1172	1305	450	483	531	688	874	738	487	518	343
"mRNA_117"	443	461	384	1059	731	933	247	358	357	533	561	498	379	334	186
"mRNA_118"	1047	661	906	552	559	397	676	754	822	535	603	512	747	694	585
"mRNA_119"	100	69	82	613	849	649	263	262	398	309	485	307	448	418	188
"mRNA_120"	176	523	654	2958	3837	4605	1619	1353	3281	574	970	1449	745	1541	465
"mRNA_121"	830	843	912	891	986	797	1147	1097	1189	1246	1217	1056	1215	1072	802
"mRNA_122"	3793	3477	5825	16537	19940	18083	1979	3004	4060	8125	10721	10859	13088	13713	1187
"mRNA_123"	3	16	14	57	104	99	11	25	26	18	23	27	61	31	20
"mRNA_124"	45	48	89	526	958	568	295	293	377	425	479	477	393	478	125
"mRNA_125"	164	142	164	448	500	363	424	469	441	389	440	374	695	471	371
"mRNA_126"	420	268	401	714	701	571	453	593	699	633	573	504	860	605	912
"mRNA_127"	288	405	491	1690	1232	1010	908	709	1732	792	981	1079	335	499	547
"mRNA_128"	138	163	190	526	461	323	265	307	683	323	447	492	224	339	150
"mRNA_129"	11	23	14	30	32	43	46	27	31	20	27	15	48	36	32
"mRNA_130"	278	172	218	338	264	261	212	202	200	192	222	155	300	307	267
"mRNA_131"	1347	1090	1202	1648	1341	1196	1029	1174	1142	1082	1294	1020	2121	1606	934
"mRNA_132"	1971	1670	2110	3072	3086	2294	2919	3477	4230	2927	3320	3183	4331	3855	2331
"mRNA_133"	7	18	8	51	45	31	21	16	29	26	26	21	13	8	10
"mRNA_134"	81	59	90	74	91	93	94	101	149	78	69	51	112	80	103
"mRNA_135"	12	14	14	17	23	28	28	25	35	13	16	10	37	31	57
"mRNA_136"	3522	3268	4265	1556	1309	815	2637	2477	2704	4169	5000	4704	1307	1527	1610
"mRNA_137"	378	347	511	839	700	589	493	374	704	724	932	1049	378	358	450
"mRNA_138"	94	115	143	222	209	248	292	224	306	266	327	284	450	458	401
"mRNA_139"	1404	1344	1278	2365	1652	2181	622	800	718	1132	1301	1240	1027	1072	566
"mRNA_140"	658	514	679	700	627	840	244	312	374	544	632	648	347	385	278
"mRNA_141"	151	327	193	242	188	185	304	310	418	392	398	355	324	284	375
"mRNA_142"	193	496	754	679	666	839	1862	1229	3316	427	545	1014	881	1427	1076
"mRNA_143"	677	555	902	1163	1152	1136	1456	1313	1739	750	886	811	1489	1312	1185
"mRNA_144"	1695	2486	3254	5513	5098	4641	3670	3350	7116	2206	3364	4067	3672	4319	3315
"mRNA_145"	306	295	301	308	319	272	285	366	414	224	279	254	491	397	358
"mRNA_146"	7	22	18	22	21	13	13	23	36	21	18	16	44	36	26
"mRNA_147"	7019	6643	6243	2812	2609	2013	4307	4820	4239	2650	2964	2592	7582	5943	5582
"mRNA_148"	1090	878	740	7138	3419	5147	328	211	257	860	681	613	174	288	164
"mRNA_149"	195	223	172	355	351	272	220	238	284	277	194	175	268	219	290
"mRNA_150"	4245	5268	4847	1564	1541	1200	3441	3591	5176	2711	2902	3009	7024	5763	6363
"mRNA_151"	252	173	161	243	119	125	169	198	288	267	186	145	359	263	279
"mRNA_152"	2	3	2	4	2	3	4	4	5	3	2	4	3	5	2
"mRNA_153"	33	50	45	89	67	57	145	155	214	379	260	268	111	111	132
"mRNA_154"	166	221	335	644	724	763	720	638	1405	360	540	610	348	435	335
"mRNA_155"	1342	1272	1336	1319	1350	1016	3275	3508	4206	1519	1516	1235	3107	2365	1811
"mRNA_156"	94	93	61	60	59	39	300	322	425	88	72	64	277	165	215
"mRNA_157"	846	669	944	1625	1199	866	1135	1554	1947	1217	1390	1291	1113	1023	848
"mRNA_158"	8	7	11	29	25	17	8	22	24	19	10	18	19	9	21
"mRNA_159"	13	25	19	56	54	35	32	24	50	57	46	43	19	18	19
"mRNA_160"	22	18	23	61	30	36	62	82	117	53	61	66	29	51	39
"mRNA_161"	11137	13283	11873	11221	9876	8316	8221	10245	9488	6973	7479	6974	11511	11193	4709
"mRNA_162"	523	531	577	752	761	666	458	528	608	557	687	533	722	779	559
"mRNA_163"	1	0	1	0	3	2	3	2	3	1	0	0	1	4	1
"mRNA_164"	66	100	90	328	283	233	114	210	292	195	221	148	180	203	130
"mRNA_165"	1245	1373	1135	1475	1311	949	998	1288	1242	1079	1256	1040	1060	983	959
"mRNA_166"	10122	10590	9603	12033	8714	8080	9787	11011	10245	7683	9173	8168	9689	9276	5111
"mRNA_167"	246	308	342	2257	1680	1411	346	440	711	582	673	566	511	508	419
"mRNA_168"	194	178	154	221	187	164	192	224	254	157	199	148	329	275	190
"mRNA_169"	1547	1179	1507	1929	1769	1475	1456	1590	1652	1567	1715	1631	2411	1992	1623
"mRNA_170"	3020	2903	2946	2598	2067	1783	2863	3328	3406	1621	1853	1699	3347	3142	4072
"mRNA_171"	2102	1942	1522	1964	1693	1692	1309	1982	2279	1637	1428	1474	2154	1983	2026
"mRNA_172"	3702	4119	3929	1960	2230	1316	2272	2733	2545	1993	2281	2071	2387	2095	1190
"mRNA_173"	255	326	294	785	669	719	563	514	953	579	681	622	497	440	371
"mRNA_174"	31	42	36	88	47	47	73	77	115	29	40	35	61	44	54
"mRNA_175"	34	41	46	95	158	137	152	130	207	2877	3271	3047	142	175	21
"mRNA_176"	338	441	432	707	610	360	356	334	440	799	911	811	823	794	379
"mRNA_177"	2066	1817	1716	1555	1222	1016	1566	1961	1710	1473	1530	1143	2736	1816	1925
"mRNA_178"	1369	1211	1626	1059	1036	768	1057	1038	1224	751	841	934	1378	1380	1215
"mRNA_179"	1257	1850	1581	1751	1184	872	2768	3084	3308	1891	2179	1822	2081	1868	2515
"mRNA_180"	6049	4664	5070	3105	2664	1978	4934	4376	4800	1728	2054	1886	1940	2229	1053
"mRNA_181"	1001	905	978	1012	1003	815	1007	1121	1239	895	926	773	1207	1065	929
"mRNA_182"	1386	1024	1411	579	479	460	370	451	486	363	414	351	502	507	297
"mRNA_183"	181	138	201	281	281	232	281	215	254	238	208	220	311	321	297
"mRNA_184"	43	61	77	542	542	425	372	279	489	151	134	131	314	364	336
"mRNA_185"	666	543	583	1028	976	928	806	850	1171	785	814	735	832	791	749
"mRNA_186"	62	63	99	398	271	285	133	141	226	235	207	194	236	194	169
"mRNA_187"	1	0	0	3	1	1	0	0	0	0	0	1	2	2	0
"mRNA_188"	1069	1150	1334	2784	2040	2190	1321	1397	2260	1402	1672	1726	1282	1229	1704
"mRNA_189"	62	73	118	303	297	283	128	142	281	205	249	266	158	154	166
"mRNA_190"	800	827	1022	1680	1375	1192	696	676	810	802	939	833	972	844	671
"mRNA_191"	166	146	167	407	355	265	147	211	290	248	250	202	203	179	170
"mRNA_192"	416	370	499	19	55	33	326	349	609	688	714	725	976	914	882
"mRNA_193"	1024	948	1034	1869	1403	1771	908	1019	1370	939	1122	1005	1184	1093	961
"mRNA_194"	26	38	47	82	64	62	55	72	70	48	56	37	50	71	50
"mRNA_195"	1024	990	1122	1310	1074	920	689	835	1033	1029	1052	1000	888	893	789
"mRNA_196"	1107	1448	1551	1506	1688	1306	1248	1163	2032	1004	1284	1475	2118	1890	1586
"mRNA_197"	453	501	413	603	420	424	297	309	319	445	445	385	372	327	185
"mRNA_198"	1982	1264	1955	2095	1756	1602	1734	1777	1803	1348	1492	1387	1666	1529	1026
"mRNA_199"	391	385	384	1411	976	1379	859	1022	1725	415	393	284	771	598	434
"mRNA_200"	1683	1576	2080	4336	2616	2531	2659	2771	3011	1410	1678	1496	2841	2743	2717
"mRNA_201"	24774	17556	23564	722	1578	1227	13308	7748	6520	13328	14432	17283	7904	11734	2010
"mRNA_202"	184	214	328	858	807	969	482	478	1021	367	500	610	637	687	839
"mRNA_203"	21	56	21	21	18	21	34	49	31	14	23	13	29	21	30
"mRNA_204"	13	33	6	14	8	6	14	10	15	14	3	4	6	7	3
"mRNA_205"	281	662	305	498	330	263	763	983	905	612	609	471	963	692	417
"mRNA_206"	23	22	47	118	135	132	62	81	187	100	108	170	71	124	31
"mRNA_207"	1975	2366	1880	1842	1708	1320	1417	1740	1705	1261	1432	1406	1443	1632	1147
"mRNA_208"	14	17	10	43	36	46	20	10	27	26	38	12	47	22	37
"mRNA_209"	472	626	760	1407	1508	1381	1130	1054	1782	707	899	1037	710	953	773
"mRNA_210"	3772	4684	5068	8299	5602	4812	5246	5082	7105	3303	4280	4726	2863	3669	2761
"mRNA_211"	1431	1105	1108	663	685	533	756	759	672	980	920	830	858	647	506
"mRNA_212"	448	598	651	300	255	261	606	865	1050	332	313	279	628	724	542
"mRNA_213"	142	233	184	384	256	244	511	666	1204	194	210	147	343	384	267
"mRNA_214"	754	767	929	827	850	767	1011	961	1308	583	697	662	1327	1101	1236
"mRNA_215"	421	525	394	494	386	326	501	514	741	341	384	277	489	402	455
"mRNA_216"	998	1189	1225	3007	2418	2169	982	1020	1588	1779	1974	1638	1037	1072	412
"mRNA_217"	1586	1832	2037	534	548	449	1236	1515	1758	1397	1562	1615	1266	1586	672
"mRNA_218"	17	31	19	26	36	30	35	35	46	39	50	32	68	64	56
"mRNA_219"	127	77	116	198	167	161	206	274	271	172	165	159	336	234	221
"mRNA_220"	33	68	61	30	19	25	93	88	145	180	208	163	122	132	70
"mRNA_221"	1024	1175	1410	963	1169	966	888	825	1090	917	1126	1060	1313	1426	975
"mRNA_222"	1653	2241	1794	3075	2151	1702	1270	1647	1723	1945	2230	1814	1673	1472	958
"mRNA_223"	2239	3893	4628	1572	1893	1712	2518	2976	4776	1018	1543	2158	2672	4738	802
"mRNA_224"	20	14	14	1405	1693	1581	27	13	30	52	59	54	81	32	148
"mRNA_225"	183	92	83	421	294	371	56	73	78	219	268	218	141	125	56
"mRNA_226"	938	789	688	799	595	720	284	286	304	469	542	471	235	224	139
"mRNA_227"	645	467	670	1751	989	1104	302	358	535	804	956	951	556	610	194
"mRNA_228"	162	344	354	464	591	422	583	698	1508	240	241	213	591	595	573
"mRNA_229"	0	0	0	0	1	0	0	0	0	2	2	2	1	1	0
"mRNA_230"	571	457	482	1226	1647	1478	663	844	1106	860	1031	829	2267	1730	2459
"mRNA_231"	584	624	727	1242	1005	1251	705	684	1330	611	848	858	678	811	735
"mRNA_232"	2	3	5	9	7	10	5	12	16	6	4	0	13	10	11
"mRNA_233"	408	490	452	584	681	372	645	615	753	668	773	678	561	618	543
"mRNA_234"	385	454	364	811	499	367	558	605	686	558	631	555	297	240	414
"mRNA_235"	44	68	40	87	82	63	385	506	442	121	180	137	532	392	347
"mRNA_236"	31	51	33	86	87	61	75	92	146	63	56	71	79	69	54
"mRNA_237"	212	159	266	876	576	580	303	303	316	421	595	536	324	354	172
"mRNA_238"	1734	3472	1746	133	82	55	1444	1576	1497	201	234	194	952	888	2457
"mRNA_239"	1455	1650	2058	5069	8266	6112	1935	2968	3317	4597	5822	5484	5239	5941	901
"mRNA_240"	511	556	627	588	526	441	718	639	970	705	823	751	608	602	576
"mRNA_241"	2330	1782	1978	2380	2090	1628	1400	1746	1689	1655	1783	1422	1510	1494	973
"mRNA_242"	310	348	446	613	523	594	465	442	849	394	499	592	351	467	332
"mRNA_243"	159	167	144	562	1005	746	145	263	251	354	329	275	541	682	115
"mRNA_244"	3919	3035	3582	2973	2635	2186	2345	2677	2920	1941	2092	1958	2143	1973	1788
"mRNA_245"	172	192	215	239	257	237	10926	12206	13535	370	363	339	13021	10174	6453
"mRNA_246"	528	327	527	201	147	167	312	338	449	205	257	191	417	337	260
"mRNA_247"	868	775	900	1542	2653	2080	859	1205	1462	1238	1461	1276	3426	2621	2463
"mRNA_248"	125	161	148	25	28	25	432	666	724	297	337	260	413	416	168
"mRNA_249"	181	197	177	173	202	185	243	298	377	331	341	309	260	274	132
"mRNA_250"	1477	1300	1432	58	54	30	16	22	53	37	22	30	53	34	55
"mRNA_251"	1409	1007	1029	464	620	389	858	891	900	799	780	668	1395	1015	1154
"mRNA_252"	44	65	43	93	104	68	90	107	91	121	137	106	154	101	122
"mRNA_253"	24	26	46	83	96	63	174	183	237	158	121	96	254	202	232
"mRNA_254"	18	59	70	602	790	988	85	114	249	108	125	222	172	329	36
"mRNA_255"	251	340	363	2613	3727	4176	365	632	1006	658	907	1128	1199	1718	242
"mRNA_256"	358	231	406	972	3164	2304	363	561	672	1155	1284	1001	3283	2460	1359
"mRNA_257"	702	571	871	1558	6850	4767	288	598	1031	2390	2856	2351	7396	5595	850
"mRNA_258"	57	57	57	267	197	310	211	288	263	272	249	227	338	252	103
"mRNA_259"	769	948	1101	1603	1448	1203	1235	1380	1809	1366	1738	1637	1363	1299	879
"mRNA_260"	37	75	70	21	21	7	208	224	338	26	50	56	128	162	159
"mRNA_261"	92	75	139	75	74	55	176	154	211	87	63	66	278	230	173
"mRNA_262"	114	98	71	97	128	65	100	96	127	121	95	83	93	82	121
"mRNA_263"	4281	7095	8770	3286	3783	3645	8747	7436	16573	6396	7772	10741	13211	15996	11276
"mRNA_264"	793	625	860	322	388	317	1161	1098	1422	948	1100	966	1981	1635	2216
"mRNA_265"	1166	1222	1528	525	528	423	1170	1243	1577	878	893	975	1345	1266	1142
"mRNA_266"	555	382	454	788	766	601	634	686	663	666	659	556	963	665	743
"mRNA_267"	12	19	27	46	138	63	810	879	1082	303	312	329	875	725	1162
"mRNA_268"	45	67	88	62	80	66	235	189	399	74	102	126	229	275	295
"mRNA_269"	75	77	75	41	111	83	241	223	390	167	166	195	383	342	375
"mRNA_270"	20	23	29	89	49	75	22	51	73	66	71	40	50	40	43
"mRNA_271"	4510	6701	7934	11238	10771	9661	6225	5205	10122	3042	4577	5372	1707	2980	717
"mRNA_272"	615	1187	811	469	385	237	1810	2087	2007	688	966	766	1173	948	677
"mRNA_273"	1155	1244	1093	1016	928	775	1009	1141	1345	733	842	750	1383	1106	1178
"mRNA_274"	63	121	101	801	634	493	273	467	682	734	1423	987	205	202	118
"mRNA_275"	7	15	5	61	34	42	23	16	18	13	23	17	35	21	14
"mRNA_276"	277	417	255	328	222	212	327	336	371	293	309	226	476	355	361
"mRNA_277"	477	445	443	769	623	541	439	538	621	600	617	506	845	630	655
"mRNA_278"	867	792	890	715	742	585	646	764	832	657	711	559	829	644	546
"mRNA_279"	13706	13215	11417	14132	12318	10342	7486	10211	10109	8930	9537	7336	4898	4510	963
"mRNA_280"	1851	2024	1469	610	365	413	913	1156	1252	563	618	503	1451	833	823
"mRNA_281"	35	80	80	1347	1502	1552	100	177	494	546	827	966	246	511	42
"mRNA_282"	23	27	26	59	73	105	16	33	78	31	55	67	63	119	5
"mRNA_283"	6873	6041	7621	6615	4393	4252	5425	5587	7959	6189	6618	6875	4602	5787	3576
"mRNA_284"	749	777	792	249	210	159	485	480	523	489	496	531	418	486	162
"mRNA_285"	889	698	847	1004	850	549	829	1037	997	786	1025	904	880	781	702
"mRNA_286"	173	268	250	319	292	273	247	296	414	308	345	304	224	248	250
"mRNA_287"	1583	1502	1745	2625	2257	2105	2072	2035	3241	1424	1510	1428	2216	1892	2275
"mRNA_288"	77	61	64	457	298	281	249	212	409	187	252	253	71	108	72
"mRNA_289"	350	346	499	951	871	858	898	617	885	370	414	476	551	584	571
"mRNA_290"	78	57	77	270	258	262	114	120	158	112	118	115	64	89	72
"mRNA_291"	328	361	379	532	528	384	438	497	476	406	451	386	572	459	404
"mRNA_292"	489	419	481	308	314	245	527	445	551	486	487	383	873	684	971
"mRNA_293"	834	929	906	25	17	19	1015	805	586	31	46	40	640	426	1937
"mRNA_294"	1118	2554	1715	4489	4478	3175	21316	23619	27357	8028	10419	9070	6938	5015	6702
"mRNA_295"	641	575	803	490	667	510	859	907	961	658	756	642	920	952	492
"mRNA_296"	448	516	546	571	666	539	738	776	1222	518	670	673	1117	988	1017
"mRNA_297"	386	320	454	593	708	555	1012	1212	1970	1149	1302	1179	1169	1102	686
"mRNA_298"	795	1251	515	2	2	6	20	31	37	1	4	3	49	64	125
"mRNA_299"	5312	4830	6413	922	1109	808	3972	3647	4056	1866	1804	2049	3384	3374	2732
"mRNA_300"	570	729	988	626	765	554	1069	983	1652	622	910	994	786	800	1059
"mRNA_301"	293	208	361	469	433	378	258	276	417	282	346	338	395	311	414
"mRNA_302"	2173	3851	4755	10227	10107	9812	3871	3536	6030	2025	2805	3589	2113	3388	568
"mRNA_303"	538	848	728	1292	1087	1351	1329	1318	1940	969	981	968	989	1159	625
"mRNA_304"	638	791	591	662	723	547	879	1100	1351	748	734	613	1943	1404	1367
"mRNA_305"	210	174	230	226	308	194	775	932	1098	462	540	460	992	749	574
"mRNA_306"	824	785	829	1060	1108	906	789	938	1187	945	932	842	1224	899	900
"mRNA_307"	367	545	375	422	427	331	490	664	754	642	605	506	1124	816	914
"mRNA_308"	274	405	266	398	377	272	340	449	483	407	431	378	709	496	420
"mRNA_309"	920	1345	1227	2326	2430	1886	2929	2768	2876	2605	3283	3190	2255	2360	1339
"mRNA_310"	2011	2579	2849	5889	7139	5150	8893	10407	11343	4031	4910	4833	6298	7473	2019
